iter	Passed	Remaining
0	81	80931
1	81	40726
2	82	27285
3	82	20579
4	83	16564
5	83	13889
6	84	12006
7	85	10567
8	85	9454
9	86	8562
10	87	7834
11	87	7221
12	88	6705
13	88	6261
14	89	5877
15	90	5545
16	90	5252
17	91	4987
18	92	4752
19	92	4539
20	93	4346
21	93	4172
22	94	4011
23	95	3863
24	95	3726
25	96	3600
26	96	3485
27	97	3378
28	97	3279
29	98	3185
30	99	3098
31	99	3015
32	100	2938
33	100	2866
34	101	2796
35	102	2732
36	102	2674
37	103	2617
38	103	2560
39	104	2507
40	105	2457
41	105	2410
42	106	2364
43	106	2320
44	107	2277
45	107	2236
46	108	2198
47	109	2163
48	109	2128
49	110	2094
50	110	2061
51	111	2029
52	111	1997
53	112	1967
54	112	1938
55	113	1909
56	113	1882
57	114	1856
58	114	1830
59	115	1807
60	115	1783
61	116	1759
62	116	1736
63	117	1715
64	117	1694
65	118	1672
66	118	1652
67	119	1633
68	119	1614
69	120	1595
70	120	1577
71	121	1561
72	121	1544
73	122	1528
74	122	1511
75	123	1495
76	123	1480
77	123	1465
78	124	1450
79	124	1436
80	125	1422
81	125	1408
82	126	1392
83	126	1379
84	126	1367
85	127	1356
86	128	1343
87	128	1331
88	128	1320
89	129	1308
90	129	1296
91	130	1285
92	130	1275
93	131	1264
94	131	1253
95	132	1243
96	132	1233
97	132	1223
98	133	1213
99	133	1203
100	134	1194
101	134	1186
102	135	1176
103	135	1168
104	136	1159
105	136	1150
106	136	1142
107	137	1134
108	137	1126
109	138	1118
110	138	1110
111	139	1103
112	139	1095
113	140	1088
114	140	1081
115	140	1074
116	141	1066
117	141	1059
118	142	1053
119	142	1046
120	143	1040
121	143	1032
122	143	1026
123	144	1020
124	144	1013
125	145	1007
126	145	1001
127	146	995
128	146	990
129	147	984
130	147	978
131	148	973
132	148	967
133	148	962
134	149	956
135	149	951
136	150	946
137	150	941
138	151	935
139	151	931
140	151	925
141	152	919
142	152	915
143	153	910
144	153	905
145	154	901
146	154	896
147	154	892
148	155	887
149	155	883
150	156	879
151	156	874
152	157	870
153	157	866
154	158	862
155	158	858
156	159	855
157	159	851
158	160	847
159	160	843
160	160	838
161	161	834
162	161	830
163	162	826
164	162	823
165	163	819
166	163	815
167	163	811
168	164	808
169	164	804
170	165	801
171	165	798
172	166	795
173	167	792
174	167	789
175	167	786
176	168	783
177	168	779
178	169	776
179	169	773
180	170	770
181	170	768
182	171	765
183	171	762
184	172	759
185	172	756
186	173	753
187	173	750
188	174	748
189	174	745
190	175	742
191	175	739
192	176	736
193	176	733
194	177	730
195	177	727
196	177	725
197	178	722
198	178	719
199	179	717
200	179	714
201	180	711
202	180	709
203	181	706
204	181	703
205	181	701
206	182	698
207	182	696
208	183	693
209	183	691
210	184	689
211	184	687
212	185	684
213	185	682
214	186	679
215	186	677
216	187	675
217	187	672
218	188	670
219	188	668
220	188	665
221	189	663
222	189	661
223	190	659
224	190	657
225	191	654
226	191	652
227	192	650
228	192	648
229	193	646
230	193	644
231	193	642
232	194	640
233	194	638
234	195	636
235	195	633
236	196	631
237	196	629
238	197	627
239	197	625
240	198	623
241	198	621
242	198	619
243	199	617
244	199	615
245	200	614
